img_id,bbox_id,x_min,x_max,y_min,y_max,label_l1,label_l2,label
94a71d5c-23f0-11e9-a8dd-bb73c49a76be, 845, 152, 266, 16, 117, Human, HUMAN, 0
94a71d5c-23f0-11e9-a8dd-bb73c49a76be, 846, 116, 281, 16, 228, Human, HUMAN, 0
94a71db6-23f0-11e9-a8de-577c4b71ceaa, 847, 156, 266, 15, 118, Human, HUMAN, 0
94a71db6-23f0-11e9-a8de-577c4b71ceaa, 848, 126, 297, 15, 229, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 849, 442, 552, 20, 268, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 850, 189, 370, 302, 465, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 851, 361, 531, 241, 462, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 852, 519, 657, 263, 437, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 853, 577, 723, 330, 553, Human, HUMAN, 1
94a71e06-23f0-11e9-a8df-9f4251175f9b, 854, 374, 462, 11, 168, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 855, 372, 476, 16, 182, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 856, 576, 720, 327, 560, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 857, 525, 653, 263, 426, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 858, 360, 526, 248, 461, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 859, 186, 351, 302, 448, Human, HUMAN, 1
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 860, 440, 571, 21, 246, Human, HUMAN, 0
94a71f1e-23f0-11e9-a8e2-03f47d022607, 862, 456, 518, 0, 148, Human, HUMAN, 0
94a71f6e-23f0-11e9-a8e3-cf0b67edb493, 863, 450, 517, 0, 149, Human, HUMAN, 0
94a71fbe-23f0-11e9-a8e4-b7ee79f8f5bf, 864, 470, 531, 0, 150, Human, HUMAN, 0
94a72068-23f0-11e9-a8e6-e3f15f8a6dd5, 866, 346, 500, 61, 261, Human, HUMAN, 0
94a72bbc-23f0-11e9-a909-53c2ff78b529, 901, 69, 157, 134, 225, Human, HUMAN, 0
94a72ea0-23f0-11e9-a912-ff12935e012b, 910, 208, 292, 638, 719, Human, HUMAN, 0
94a72fc2-23f0-11e9-a913-4f690c554568, 911, 208, 279, 640, 719, Human, HUMAN, 0
94a730c6-23f0-11e9-a916-7b1509e91096, 914, 549, 587, 0, 118, Human, HUMAN, 0
94a731c0-23f0-11e9-a919-0b4e08b3cda8, 917, 124, 249, 15, 118, Human, HUMAN, 0
94a731c0-23f0-11e9-a919-0b4e08b3cda8, 918, 0, 100, 300, 431, Human, HUMAN, 0
