img_id,bbox_id,x_min,x_max,y_min,y_max,label_l1,label_l2,label
94a69b66-23f0-11e9-a78e-2f2b7983ac0d, 1, 438, 529, 0, 132, Human, HUMAN, 0
94a70010-23f0-11e9-a88c-efc62199dc50, 750, 559, 686, 181, 290, Human, HUMAN, 1
94a70010-23f0-11e9-a88c-efc62199dc50, 751, 525, 693, 267, 408, Human, HUMAN, 1
94a70010-23f0-11e9-a88c-efc62199dc50, 752, 555, 689, 380, 568, Human, HUMAN, 1
94a70060-23f0-11e9-a88d-9ba83d29ee0b, 753, 559, 682, 180, 338, Human, HUMAN, 1
94a70060-23f0-11e9-a88d-9ba83d29ee0b, 754, 525, 645, 273, 420, Human, HUMAN, 1
94a70060-23f0-11e9-a88d-9ba83d29ee0b, 755, 554, 687, 379, 554, Human, HUMAN, 1
94a700ba-23f0-11e9-a88e-a75a2bcbc370, 756, 546, 676, 380, 568, Human, HUMAN, 1
94a700ba-23f0-11e9-a88e-a75a2bcbc370, 757, 525, 684, 263, 422, Human, HUMAN, 1
94a700ba-23f0-11e9-a88e-a75a2bcbc370, 758, 558, 678, 182, 306, Human, HUMAN, 1
94a7010a-23f0-11e9-a88f-771c958269b0, 759, 478, 662, 490, 679, Human, HUMAN, 0
94a7010a-23f0-11e9-a88f-771c958269b0, 760, 453, 530, 0, 108, Human, HUMAN, 0
94a7010a-23f0-11e9-a88f-771c958269b0, 761, 0, 221, 480, 667, Human, HUMAN, 0
94a7010a-23f0-11e9-a88f-771c958269b0, 762, 357, 474, 396, 546, Human, HUMAN, 0
94a70164-23f0-11e9-a890-f7d7ba703d81, 763, 0, 222, 479, 677, Human, HUMAN, 0
94a70164-23f0-11e9-a890-f7d7ba703d81, 764, 452, 515, 0, 103, Human, HUMAN, 0
94a70164-23f0-11e9-a890-f7d7ba703d81, 765, 472, 662, 500, 664, Human, HUMAN, 0
94a70164-23f0-11e9-a890-f7d7ba703d81, 766, 370, 531, 419, 574, Human, HUMAN, 0
94a701be-23f0-11e9-a891-c752a9e28177, 767, 508, 625, 0, 195, Human, HUMAN, 0
94a701be-23f0-11e9-a891-c752a9e28177, 768, 0, 212, 523, 660, Human, HUMAN, 0
94a701be-23f0-11e9-a891-c752a9e28177, 769, 420, 498, 0, 120, Human, HUMAN, 0
94a70268-23f0-11e9-a893-332a5f7cdc4f, 771, 433, 529, 0, 147, Human, HUMAN, 0
94a702b8-23f0-11e9-a894-9b572470fc87, 772, 435, 526, 0, 136, Human, HUMAN, 0
94a70308-23f0-11e9-a895-7fe750a623ae, 773, 435, 529, 0, 138, Human, HUMAN, 0
94a70358-23f0-11e9-a896-0f0eed80b151, 774, 436, 529, 0, 139, Human, HUMAN, 0
94a703b2-23f0-11e9-a897-8313393267d9, 775, 432, 531, 0, 138, Human, HUMAN, 0
94a703f8-23f0-11e9-a898-bb1e2c669f5f, 776, 435, 528, 0, 139, Human, HUMAN, 0
94a70448-23f0-11e9-a899-c39f212289dc, 777, 437, 529, 0, 136, Human, HUMAN, 0
94a70498-23f0-11e9-a89a-2f2b604aa0d7, 778, 437, 530, 0, 137, Human, HUMAN, 0
94a704e8-23f0-11e9-a89b-07f00b9be2d8, 779, 0, 181, 406, 520, Human, HUMAN, 0
94a70ae2-23f0-11e9-a8ae-abd2ec936a34, 798, 0, 121, 285, 421, Human, HUMAN, 0
94a70b3c-23f0-11e9-a8af-03eceb507736, 799, 0, 120, 258, 422, Human, HUMAN, 0
94a711b8-23f0-11e9-a8b9-fbe8a10ac3d3, 809, 49, 117, 231, 326, Human, HUMAN, 0
94a71208-23f0-11e9-a8ba-3f60427f5dff, 810, 48, 122, 233, 370, Human, HUMAN, 0
94a71262-23f0-11e9-a8bb-c366460ff026, 811, 45, 117, 232, 346, Human, HUMAN, 0
94a713fc-23f0-11e9-a8c0-abcd7b77f8f8, 816, 111, 352, 185, 406, Human, HUMAN, 0
94a7144c-23f0-11e9-a8c1-b343b10e519e, 817, 146, 350, 184, 405, Human, HUMAN, 0
94a71a1e-23f0-11e9-a8d3-57778a461d78, 835, 390, 498, 0, 94, Human, HUMAN, 0
94a71a6e-23f0-11e9-a8d4-236dbc876959, 836, 392, 500, 0, 95, Human, HUMAN, 0
94a71abe-23f0-11e9-a8d5-1ff90f9e7545, 837, 388, 497, 0, 97, Human, HUMAN, 0
94a71b0e-23f0-11e9-a8d6-2bb04f08ab23, 838, 391, 501, 0, 95, Human, HUMAN, 0
94a71b68-23f0-11e9-a8d7-f75c3979b9c4, 839, 0, 181, 269, 457, Human, HUMAN, 0
94a71bc2-23f0-11e9-a8d8-c7ab1f89a2a4, 840, 0, 183, 330, 497, Human, HUMAN, 0
94a71c12-23f0-11e9-a8d9-a3b225197abc, 841, 367, 504, 134, 365, Human, HUMAN, 0
94a71c62-23f0-11e9-a8da-3fdb161160e9, 842, 365, 504, 121, 350, Human, HUMAN, 0
94a71cbc-23f0-11e9-a8db-87b7a0ab1bfa, 843, 365, 512, 116, 349, Human, HUMAN, 0
94a71d0c-23f0-11e9-a8dc-631140054545, 844, 365, 513, 117, 360, Human, HUMAN, 0
94a71d5c-23f0-11e9-a8dd-bb73c49a76be, 845, 152, 266, 16, 117, Human, HUMAN, 0
94a71d5c-23f0-11e9-a8dd-bb73c49a76be, 846, 116, 281, 16, 228, Human, HUMAN, 0
94a71db6-23f0-11e9-a8de-577c4b71ceaa, 847, 156, 266, 15, 118, Human, HUMAN, 0
94a71db6-23f0-11e9-a8de-577c4b71ceaa, 848, 126, 297, 15, 229, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 849, 442, 552, 20, 268, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 850, 189, 370, 302, 465, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 851, 361, 531, 241, 462, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 852, 519, 657, 263, 437, Human, HUMAN, 0
94a71e06-23f0-11e9-a8df-9f4251175f9b, 853, 577, 723, 330, 553, Human, HUMAN, 1
94a71e06-23f0-11e9-a8df-9f4251175f9b, 854, 374, 462, 11, 168, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 855, 372, 476, 16, 182, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 856, 576, 720, 327, 560, Human, HUMAN, 1
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 857, 525, 653, 263, 426, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 858, 360, 526, 248, 461, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 859, 186, 351, 302, 448, Human, HUMAN, 0
94a71e6a-23f0-11e9-a8e0-1ba35e31c364, 860, 440, 571, 21, 246, Human, HUMAN, 0
94a71f1e-23f0-11e9-a8e2-03f47d022607, 862, 456, 518, 0, 148, Human, HUMAN, 0
94a71f6e-23f0-11e9-a8e3-cf0b67edb493, 863, 450, 517, 0, 149, Human, HUMAN, 0
